Closed Quarter,Closed Month,Closed Week,Closed Day,Case Id,Analyst,Category,Language,Start date,Blocked,Cust Time Hours,Agent Time Hours,Consult,Closing Channel,Opening Channel,Complexity,Incoming Messages,Vendor Team,Product,Total Resolution Time x Blocked By,Num Outgoing Emails,Total Resolution Time Incl Weekends Hours,Total time to Assign in Hours,Time for First Response in Hours,Consult Total Resolution Time,Total Resolution Time WITHOUT WEEKENDS,Manual Followup Count,OverallSat,Case Region,PL,SM,Start (IST) Time,Day,Hour,Agentime/Itr.
2018-04-01,2018-04-01,2018-04-22,2018-04-25,2-547021904,msaheb,Programmatic Direct (Deals),en,2018-04-23,FALSE,56.27,12.51,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD PLAT,Platforms,68.78,3,68.78,0.06,7.79,0.00,68.78,1,,APAC,mrengarajan,vsunda,2018-04-23 12:35:24,Mon,12,4.17
2018-04-01,2018-05-01,2018-05-20,2018-05-21,8-325822035,pampara,Programmatic Direct (Deals),en,2018-05-18,FALSE,63.20,5.58,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Platforms,68.78,2,68.78,0.44,4.87,0.00,20.78,0,,NA,pampara,vipinnair,2018-05-19 3:05:36,Sat,3,2.79
2018-04-01,2018-06-01,2018-06-24,2018-06-25,7-443422546,gattula,Publisher Controls,en,2018-06-22,FALSE,66.33,2.44,FALSE,EMAIL,EMAIL,Medium,0,HCL HYD MON,Monetization,68.77,2,68.77,0.97,2.39,0.00,20.77,1,,EMEA,malavikas,ashwint,2018-06-22 21:29:07,Fri,21,1.22
2018-04-01,2018-04-01,2018-04-01,2018-04-06,4-132421846,vereddy,Reporting,en,2018-04-03,FALSE,31.92,36.84,FALSE,EMAIL,EMAIL,Medium,3,HCL HYD PLAT,Platforms,68.76,3,68.76,0.72,8.68,0.00,68.76,0,,EMEA,vereddy,sgangadhari,2018-04-03 20:02:58,Tue,20,12.28
2018-04-01,2018-04-01,2018-04-15,2018-04-20,4-744422019,ahecke,"Dynamic Allocation (AdX/AdSense Backfill, EDA)",de,2018-04-17,FALSE,40.63,28.12,FALSE,EMAIL,EMAIL,Medium,2,HCL DUB MON,Monetization,68.75,3,68.75,1.10,25.99,0.00,68.75,1,,DUBLIN,hmatos,hmatos,2018-04-17 20:03:01,Tue,20,9.37
2018-04-01,2018-05-01,2018-05-27,2018-05-27,8-447822095,akudo,Tagging,en,2018-05-24,FALSE,0.00,68.73,FALSE,EMAIL,EMAIL,null,2,HCL JAP PLAT,Platforms,68.73,1,68.73,0.00,68.73,0.00,25.34,0,,JAPAN,nkone,saikarthik,2018-05-25 11:09:41,Fri,11,68.73
2018-04-01,2018-06-01,2018-06-10,2018-06-11,4-628922748,rmurawski,Publisher Controls,fr,2018-06-08,FALSE,0.00,68.53,TRUE,EMAIL,EMAIL,Medium,1,HCL DUB MON,Monetization,68.72,1,68.72,0.04,68.72,0.20,20.72,0,,DUBLIN,hmatos,hmatos,2018-06-08 20:07:16,Fri,20,68.53
2018-04-01,2018-04-01,2018-04-29,2018-04-30,2-069221909,nwalnekar,Account Management,en,2018-04-27,FALSE,61.83,6.82,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Monetization,68.65,4,68.65,0.17,1.64,0.00,20.65,2,,NA,pampara,vipinnair,2018-04-28 2:51:48,Sat,2,1.71
2018-04-01,2018-05-01,2018-05-06,2018-05-10,8-815822209,vpothakamuri,Policy,en,2018-05-07,FALSE,39.40,19.06,TRUE,EMAIL,EMAIL,Medium,3,HCL HYD MON,Platforms,68.65,6,68.65,0.33,2.97,10.20,68.65,2,,APAC,ldaram,larasur,2018-05-07 16:05:04,Mon,16,3.18
2018-04-01,2018-04-01,2018-04-15,2018-04-19,9-213621801,mimohammed,Yield Management,en,2018-04-16,FALSE,28.98,39.65,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD MON,Monetization,68.63,5,68.63,2.69,7.92,0.00,68.63,1,,NA,vbandikalla,mshabbir,2018-04-17 4:36:57,Tue,4,7.93
2018-04-01,2018-06-01,2018-06-24,2018-06-25,8-571622552,pbharathi,"Dynamic Allocation (AdX/AdSense Backfill, EDA)",en,2018-06-22,FALSE,58.62,9.99,FALSE,EMAIL,EMAIL,null,1,HCL HYD PLAT,Platforms,68.61,2,68.61,2.29,3.98,0.00,20.61,1,100,EMEA,vereddy,sgangadhari,2018-06-22 21:44:40,Fri,21,4.99
2018-04-01,2018-05-01,2018-05-06,2018-05-09,6-965322222,koduganti,Programmatic Direct (Deals),en,2018-05-07,FALSE,50.16,18.44,FALSE,EMAIL,CHAT,Easy,2,HCL HYD MON,Consult - Monetization,68.60,4,68.60,0.01,0.01,0.00,68.60,1,,APAC,ldaram,larasur,2018-05-07 15:35:53,Mon,15,4.61
2018-04-01,2018-06-01,2018-06-10,2018-06-13,5-741322135,vinjamuriki,Tagging,en,2018-06-10,FALSE,0.02,63.87,TRUE,EMAIL,EMAIL,Easy,3,HCL HYD PLAT,Platforms,68.59,4,68.59,0.00,21.55,4.70,51.01,1,,EMEA,enagabushanam,sgangadhari,2018-06-10 18:55:06,Sun,18,15.97
2018-04-01,2018-05-01,2018-05-20,2018-05-23,5-194422191,shrutivinod,Order & Line Item Setup,en,2018-05-20,FALSE,35.66,21.15,TRUE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Platforms,68.57,5,68.57,0.02,4.20,11.76,67.76,2,,APAC,susaurabh,vsunda,2018-05-21 11:41:06,Mon,11,4.23
2018-04-01,2018-06-01,2018-06-17,2018-06-18,8-323422481,vbandlapalli,Reporting,en,2018-06-15,FALSE,61.54,7.01,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD MON,Monetization,68.55,2,68.55,0.53,4.14,0.00,20.55,0,,NA,arghyamitra,mshabbir,2018-06-16 2:29:33,Sat,2,3.51
2018-04-01,2018-04-01,2018-04-22,2018-04-23,3-722921945,nayaka,AMP,en,2018-04-20,FALSE,61.63,6.90,FALSE,EMAIL,CHAT,Medium,1,HCL HYD PLAT,Consult - Platforms,68.54,3,68.54,0.12,0.13,0.00,20.54,1,,NA,nayaka,sbalasundaram,2018-04-20 23:58:18,Fri,23,2.30
2018-04-01,2018-04-01,2018-04-29,2018-04-30,9-687021765,rkhurseed,Programmatic Direct (Deals),en,2018-04-27,FALSE,63.24,5.29,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD PLAT,Platforms,68.53,2,68.53,0.37,0.85,0.00,20.53,0,,NA,lucyk,sbalasundaram,2018-04-28 4:35:51,Sat,4,2.65
2018-04-01,2018-05-01,2018-05-13,2018-05-17,0-805821974,kushalavreddy,Account Management,en,2018-05-14,FALSE,61.83,6.68,FALSE,EMAIL,EMAIL,Medium,3,HCL HYD PLAT,Consult - Platforms,68.51,2,68.51,0.52,3.60,0.00,68.51,0,,NA,pampara,vipinnair,2018-05-15 4:40:03,Tue,4,3.34
2018-04-01,2018-04-01,2018-04-22,2018-04-23,1-309921892,pcolombon,Programmatic Direct (Deals),fr,2018-04-20,FALSE,0.00,68.40,FALSE,EMAIL,EMAIL,Easy,1,HCL DUB MON,Monetization,68.47,1,68.47,0.00,68.47,0.00,20.47,0,,DUBLIN,hmatos,hmatos,2018-04-20 19:45:51,Fri,19,68.40
2018-04-01,2018-06-01,2018-06-17,2018-06-21,4-195322320,gmakedonskyy,Reporting,ru,2018-06-18,FALSE,25.24,43.19,FALSE,EMAIL,EMAIL,Medium,3,HCL KRK PLAT,Platforms,68.42,2,68.42,6.37,20.40,0.00,68.42,0,,KRAKOW,hmatos,hmatos,2018-06-18 23:41:37,Mon,23,21.59
2018-04-01,2018-04-01,2018-04-01,2018-04-05,2-010721612,mimohammed,Video,en,2018-04-02,FALSE,41.89,26.53,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD MON,Monetization,68.42,2,68.42,0.39,25.94,0.00,68.42,0,,NA,vbandikalla,mshabbir,2018-04-03 2:34:02,Tue,2,13.27
2018-04-01,2018-06-01,2018-06-24,2018-06-25,8-207222604,vsobharaj,Policy,en,2018-06-22,FALSE,1.94,66.45,FALSE,EMAIL,EMAIL,Medium,0,HCL HYD MON,Monetization,68.39,2,68.39,60.65,66.45,0.00,20.39,1,0,NA,vbandikalla,mshabbir,2018-06-23 8:12:42,Sat,8,33.22
2018-04-01,2018-06-01,2018-06-17,2018-06-18,1-530822487,nchirokoff,Formats & Creative Trafficking,fr,2018-06-15,FALSE,1.84,66.55,FALSE,EMAIL,EMAIL,Easy,3,HCL DUB PLAT,Platforms,68.39,3,68.39,3.63,65.19,0.00,20.39,0,,DUBLIN,hmatos,hmatos,2018-06-15 22:31:06,Fri,22,22.18
2018-04-01,2018-05-01,2018-05-27,2018-05-28,9-998222667,juanfelipec,Reporting,es,2018-05-25,FALSE,5.61,62.77,FALSE,EMAIL,EMAIL,Easy,2,HCL DUB PLAT,Platforms,68.38,2,68.38,0.27,61.39,0.00,20.38,0,,DUBLIN,hmatos,hmatos,2018-05-26 0:37:52,Sat,0,31.38
2018-04-01,2018-04-01,2018-04-22,2018-04-26,5-115221966,bpullivarthi,Audience,en,2018-04-23,FALSE,66.25,2.12,FALSE,EMAIL,CHAT,Easy,0,HCL HYD PLAT,Consult - Monetization,68.37,3,68.37,0.00,0.02,0.00,68.37,1,,NA,nayaka,sbalasundaram,2018-04-23 19:39:05,Mon,19,0.71
2018-04-01,2018-05-01,2018-05-06,2018-05-10,2-121935,gsavade,Account Management,en,2018-05-02,TRUE,25.82,42.53,FALSE,EMAIL,EMAIL,Easy,8,HCL HYD MON,Consult - Monetization,68.35,9,197.77,0.00,3.11,0.00,149.77,1,,EMEA,malavikas,ashwint,2018-05-02 14:34:48,Wed,14,4.73
2018-04-01,2018-04-01,2018-04-29,2018-04-30,7-012122001,nwalnekar,Account Management,en,2018-04-27,FALSE,64.54,3.79,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Monetization,68.32,2,68.32,0.14,0.73,0.00,20.32,0,,NA,pampara,vipinnair,2018-04-28 2:53:42,Sat,2,1.89
2018-04-01,2018-04-01,2018-04-22,2018-04-23,7-907421544,arasani,Programmatic Direct (Deals),en,2018-04-20,FALSE,16.62,51.69,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD MON,Monetization,68.31,2,68.31,3.41,7.09,0.00,20.31,0,,EMEA,aaluguri,ashwint,2018-04-20 17:25:50,Fri,17,25.85
2018-04-01,2018-04-01,2018-04-15,2018-04-16,2-598021757,rdarga,Reporting,en,2018-04-13,FALSE,65.58,2.70,FALSE,EMAIL,EMAIL,Easy,1,HCL HYD PLAT,Platforms,68.29,2,68.29,0.10,2.70,0.00,20.29,1,,EMEA,vereddy,sgangadhari,2018-04-13 20:28:58,Fri,20,1.35
2018-04-01,2018-06-01,2018-06-17,2018-06-18,1-468822270,pillikiran,Formats & Creative Trafficking,en,2018-06-15,FALSE,0.18,68.10,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Consult - Platforms,68.28,2,68.28,0.32,2.20,0.00,20.28,0,,EMEA,parijatk,sgangadhari,2018-06-15 18:54:35,Fri,18,34.05
2018-04-01,2018-04-01,2018-04-22,2018-04-26,2-001121894,bpullivarthi,Reporting,en,2018-04-23,FALSE,49.00,19.23,FALSE,EMAIL,EMAIL,Easy,1,HCL HYD PLAT,Platforms,68.22,3,68.22,0.91,19.23,0.00,68.22,1,,NA,nayaka,sbalasundaram,2018-04-23 23:51:47,Mon,23,6.41
2018-04-01,2018-04-01,2018-04-22,2018-04-26,2-930422248,keerthisai,Formats & Creative Trafficking,en,2018-04-24,FALSE,59.51,8.70,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD PLAT,Platforms,68.21,3,68.21,0.30,3.91,0.00,68.21,0,100,APAC,mrengarajan,vsunda,2018-04-24 15:49:40,Tue,15,2.90
2018-04-01,2018-04-01,2018-04-08,2018-04-13,3-908121506,gsavade,Account Management,en,2018-04-10,FALSE,66.07,2.14,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD MON,Consult - Monetization,68.20,2,68.20,0.00,1.41,0.00,68.20,0,,EMEA,malavikas,ashwint,2018-04-10 22:10:12,Tue,22,1.07
2018-04-01,2018-05-01,2018-05-06,2018-05-07,6-214822167,aravichandrika,Policy,en,2018-05-04,FALSE,65.14,3.02,FALSE,EMAIL,EMAIL,Medium,1,HCL HYD MON,Monetization,68.16,3,68.16,1.06,2.67,0.00,20.16,1,,NA,jjaleel,mshabbir,2018-05-05 1:07:18,Sat,1,1.01
2018-04-01,2018-04-01,2018-04-01,2018-04-01,1-197321564,dliao,Order & Line Item Delivery (Adserving),en,2018-03-29,FALSE,0.00,68.10,FALSE,PHONE,PHONE,null,0,HCL CHN PLAT,Platforms,68.10,0,68.10,0.00,0.03,0.00,24.13,0,,CHINA,nkone,saikarthik,2018-03-30 12:22:18,Fri,12,
2018-04-01,2018-05-01,2018-05-13,2018-05-14,7-113222064,olcese,Order & Line Item Setup,es,2018-05-11,FALSE,62.78,5.30,FALSE,EMAIL,EMAIL,Easy,2,HCL SAO PLAT,Platforms,68.08,3,68.08,0.05,3.17,0.00,20.08,1,,LATAM,martinsanchez,saikarthik,2018-05-12 0:17:35,Sat,0,1.77
2018-04-01,2018-04-01,2018-04-01,2018-04-01,6-089621475,dliao,Order & Line Item Delivery (Adserving),en,2018-03-29,FALSE,0.00,68.07,FALSE,PHONE,PHONE,null,0,HCL CHN PLAT,Platforms,68.07,0,68.07,0.00,0.02,0.00,24.10,0,,CHINA,nkone,saikarthik,2018-03-30 12:23:59,Fri,12,
2018-04-01,2018-05-01,2018-05-13,2018-05-13,5-799122214,anuragkumarr,Policy,en,2018-05-11,FALSE,65.74,2.32,FALSE,EMAIL,EMAIL,null,1,HCL HYD MON,Monetization,68.06,2,68.06,0.11,2.32,0.00,23.27,1,,APAC,ldaram,larasur,2018-05-11 13:13:47,Fri,13,1.16
2018-04-01,2018-04-01,2018-04-15,2018-04-16,6-313221899,koduganti,Order & Line Item Setup,en,2018-04-13,FALSE,59.11,8.91,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD MON,Consult - Monetization,68.01,2,68.01,0.00,1.75,0.00,20.01,0,,APAC,ldaram,larasur,2018-04-13 17:33:02,Fri,17,4.45
2018-04-01,2018-04-01,2018-04-15,2018-04-15,2-568821718,motokit,Publisher Controls,ja,2018-04-12,FALSE,60.30,7.66,FALSE,EMAIL,EMAIL,Medium,2,HCL JAP PLAT,Monetization,67.96,2,67.96,0.05,6.66,0.00,26.44,0,100,JAPAN,nkone,saikarthik,2018-04-13 10:03:36,Fri,10,3.83
2018-04-01,2018-05-01,2018-05-20,2018-05-21,8-363722340,abellucci,Publisher Controls,it,2018-05-18,FALSE,64.96,2.97,FALSE,EMAIL,EMAIL,Easy,3,HCL DUB MON,Monetization,67.93,2,67.93,0.08,2.75,0.00,19.93,0,,DUBLIN,hmatos,hmatos,2018-05-18 19:11:40,Fri,19,1.48
2018-04-01,2018-06-01,2018-06-10,2018-06-11,4-861722094,afrosesharukh,Formats & Creative Trafficking,en,2018-06-08,FALSE,0.00,67.89,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Platforms,67.89,1,67.89,0.00,67.89,0.00,19.89,0,,EMEA,parijatk,sgangadhari,2018-06-08 23:18:50,Fri,23,67.89
2018-04-01,2018-05-01,2018-05-27,2018-05-31,7-630322260,pbharathi,Reporting,en,2018-05-28,FALSE,60.10,7.72,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Platforms,67.82,4,67.82,0.79,3.78,0.00,67.82,2,,EMEA,vereddy,sgangadhari,2018-05-28 19:45:53,Mon,19,1.93
2018-04-01,2018-04-01,2018-04-22,2018-04-23,6-174221830,olcese,Reporting,es,2018-04-20,FALSE,0.00,67.81,FALSE,EMAIL,EMAIL,Easy,3,HCL SAO PLAT,Platforms,67.81,2,67.81,0.93,2.84,0.00,19.81,0,,LATAM,martinsanchez,saikarthik,2018-04-21 2:06:20,Sat,2,33.91
2018-04-01,2018-06-01,2018-06-24,2018-06-28,7-663722679,fsoncini,Order & Line Item Delivery (Adserving),it,2018-06-25,FALSE,65.23,2.51,FALSE,EMAIL,EMAIL,Easy,2,HCL DUB PLAT,Platforms,67.74,3,67.74,0.01,2.16,0.00,67.74,1,,DUBLIN,hmatos,hmatos,2018-06-25 19:51:37,Mon,19,0.84
2018-04-01,2018-06-01,2018-06-10,2018-06-10,9-731222256,tsrideep,"Dynamic Allocation (AdX/AdSense Backfill, EDA)",en,2018-06-07,FALSE,66.36,1.37,FALSE,EMAIL,CHAT,Easy,0,HCL HYD MON,Consult - Monetization,67.73,1,67.73,0.01,0.02,0.00,24.38,0,,APAC,ldaram,larasur,2018-06-08 12:07:13,Fri,12,1.37
2018-04-01,2018-05-01,2018-05-13,2018-05-17,5-361822345,tpadala,Reporting,en,2018-05-14,FALSE,51.92,15.79,FALSE,EMAIL,EMAIL,Easy,4,HCL HYD PLAT,Platforms,67.71,4,67.71,0.35,4.86,0.00,67.71,0,,EMEA,vereddy,sgangadhari,2018-05-14 20:33:06,Mon,20,3.95
2018-04-01,2018-06-01,2018-06-24,2018-06-24,8-986922691,karepe,Order & Line Item Setup,en,2018-06-21,FALSE,1.31,66.37,FALSE,EMAIL,CHAT,Easy,3,HCL HYD PLAT,Consult - Platforms,67.68,4,67.68,0.01,0.02,0.00,24.08,0,,APAC,susaurabh,vsunda,2018-06-22 12:25:14,Fri,12,16.59
2018-04-01,2018-06-01,2018-05-27,2018-06-01,7-899022631,cborchetia,Tagging,en,2018-05-29,FALSE,5.83,35.23,TRUE,EMAIL,EMAIL,Medium,5,HCL HYD PLAT,Platforms,67.68,7,67.68,0.19,3.40,26.62,67.68,3,,NA,nayaka,sbalasundaram,2018-05-30 0:32:28,Wed,0,5.03
2018-04-01,2018-05-01,2018-04-29,2018-05-03,2-656522097,abandela,Tagging,en,2018-04-30,FALSE,60.35,7.32,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Platforms,67.67,3,67.67,1.50,4.28,0.00,67.67,1,,EMEA,enagabushanam,sgangadhari,2018-04-30 21:06:12,Mon,21,2.44
2018-04-01,2018-05-01,2018-05-06,2018-05-07,6-930022,mpostel,Order & Line Item Setup,fr,2018-05-04,FALSE,2.45,65.21,FALSE,EMAIL,EMAIL,Easy,2,HCL DUB PLAT,Platforms,67.66,2,67.66,0.06,1.51,0.00,19.66,0,100,DUBLIN,hmatos,hmatos,2018-05-04 18:53:06,Fri,18,32.60
2018-04-01,2018-05-01,2018-05-20,2018-05-21,3-186822054,gratna,Programmatic Direct (Deals),en,2018-05-18,FALSE,7.50,60.11,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD MON,Monetization,67.61,3,67.61,1.80,6.92,0.00,19.61,0,,NA,vbandikalla,mshabbir,2018-05-18 17:54:28,Fri,17,20.04
2018-04-01,2018-06-01,2018-06-03,2018-06-07,1-338622410,cborchetia,Reporting,en,2018-06-04,FALSE,46.21,21.40,FALSE,EMAIL,EMAIL,Medium,3,HCL HYD PLAT,Platforms,67.61,3,67.61,15.47,19.56,0.00,67.61,0,,NA,nayaka,sbalasundaram,2018-06-05 6:13:38,Tue,6,7.13
2018-04-01,2018-06-01,2018-06-24,2018-06-25,0-106022468,nchirokoff,Order & Line Item Setup,fr,2018-06-22,FALSE,1.04,66.54,FALSE,EMAIL,CHAT,Easy,4,HCL DUB PLAT,Consult - Platforms,67.58,4,67.58,0.14,0.16,0.00,19.58,0,,DUBLIN,hmatos,hmatos,2018-06-22 19:14:16,Fri,19,16.64
2018-04-01,2018-05-01,2018-05-27,2018-05-30,4-874322483,vpothakamuri,Inventory Management,en,2018-05-28,FALSE,50.62,16.88,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD MON,Platforms,67.51,3,67.51,0.00,7.63,0.00,67.51,0,,APAC,ldaram,larasur,2018-05-28 14:06:45,Mon,14,5.63
2018-04-01,2018-06-01,2018-06-17,2018-06-21,4-301222541,pcolombon,Programmatic Direct (Deals),fr,2018-06-18,FALSE,45.40,22.09,FALSE,EMAIL,EMAIL,Medium,2,HCL DUB MON,Monetization,67.50,3,67.50,0.08,2.41,0.00,67.50,1,,DUBLIN,hmatos,hmatos,2018-06-18 17:48:06,Mon,17,7.36
2018-04-01,2018-05-01,2018-05-27,2018-05-30,4-080822164,smaekawa,Tagging,ja,2018-05-28,FALSE,48.28,19.17,FALSE,EMAIL,EMAIL,Medium,3,HCL JAP PLAT,Monetization,67.46,4,67.46,15.46,17.00,0.00,67.46,1,,JAPAN,nkone,saikarthik,2018-05-28 13:54:35,Mon,13,4.79
2018-04-01,2018-06-01,2018-06-10,2018-06-11,2-999622457,olcese,Formats & Creative Trafficking,es,2018-06-08,FALSE,65.04,2.40,FALSE,EMAIL,EMAIL,Easy,2,HCL SAO PLAT,Platforms,67.44,2,67.44,0.12,1.99,0.00,19.44,0,,LATAM,martinsanchez,saikarthik,2018-06-09 2:32:09,Sat,2,1.20
2018-04-01,2018-05-01,2018-05-06,2018-05-07,6-006221839,sparambath,Programmatic Direct (Deals),en,2018-05-04,FALSE,60.49,6.92,FALSE,EMAIL,CHAT,Easy,2,HCL HYD PLAT,Consult - Platforms,67.42,3,67.42,0.00,0.01,0.00,19.42,0,,NA,djavvaji,vipinnair,2018-05-05 2:47:38,Sat,2,2.31
2018-04-01,2018-05-01,2018-05-20,2018-05-21,0-489022103,fsoncini,Audience,it,2018-05-18,FALSE,0.00,67.41,FALSE,EMAIL,EMAIL,Easy,1,HCL DUB PLAT,Platforms,67.41,1,67.41,0.05,67.41,0.00,19.41,0,,DUBLIN,hmatos,hmatos,2018-05-18 21:03:02,Fri,21,67.41
2018-04-01,2018-06-01,2018-06-03,2018-06-04,2-592322235,koppulanavya,Education: Unsupported client,en,2018-06-01,FALSE,0.00,67.20,FALSE,EMAIL,EMAIL,null,1,HCL HYD PLAT,Monetization,67.20,1,67.20,1.59,67.20,0.00,19.20,0,,NA,msadatullah,msadatullah,2018-06-02 1:13:31,Sat,1,67.20
2018-04-01,2018-06-01,2018-06-17,2018-06-18,6-389322496,pbuyankar,Programmatic Direct (Deals),en,2018-06-15,FALSE,63.42,3.78,FALSE,EMAIL,EMAIL,Easy,1,HCL HYD PLAT,Platforms,67.19,2,67.19,2.06,3.78,0.00,19.19,1,,EMEA,enagabushanam,sgangadhari,2018-06-15 21:29:15,Fri,21,1.89
2018-04-01,2018-05-01,2018-05-13,2018-05-18,8-858122044,pcipion,Video,fr,2018-05-15,FALSE,0.00,58.04,TRUE,EMAIL,EMAIL,Hard,1,HCL DUB MON,Monetization,67.17,2,67.17,12.44,21.74,9.14,67.17,1,,DUBLIN,hmatos,hmatos,2018-05-15 22:38:21,Tue,22,29.02
2018-04-01,2018-04-01,2018-04-15,2018-04-19,5-724521615,akoushik,Inventory Management,en,2018-04-17,FALSE,52.65,14.47,FALSE,EMAIL,EMAIL,Medium,6,HCL HYD MON,Platforms,67.11,5,67.11,0.27,2.35,0.00,67.11,0,,APAC,ldaram,larasur,2018-04-17 17:18:32,Tue,17,2.89
2018-04-01,2018-04-01,2018-04-15,2018-04-15,5-451221699,smaekawa,Formats & Creative Trafficking,ja,2018-04-13,FALSE,62.88,4.21,FALSE,EMAIL,EMAIL,Easy,2,HCL JAP PLAT,Platforms,67.09,2,67.09,1.67,3.63,0.00,23.59,0,,JAPAN,nkone,saikarthik,2018-04-13 12:54:52,Fri,12,2.11
2018-04-01,2018-05-01,2018-05-20,2018-05-20,8-296822175,miizuka,Reporting,ja,2018-05-17,FALSE,1.48,65.60,FALSE,EMAIL,EMAIL,Medium,5,HCL JAP PLAT,Platforms,67.08,2,67.08,0.13,3.62,0.00,25.63,0,100,JAPAN,nkone,saikarthik,2018-05-18 10:52:17,Fri,10,32.80
2018-04-01,2018-06-01,2018-06-03,2018-06-04,6-873122115,nvyas,XSM,en,2018-06-01,FALSE,24.00,43.02,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD PLAT,Platforms,67.02,2,67.02,4.26,6.60,0.00,19.02,0,,NA,pampara,vipinnair,2018-06-01 18:22:35,Fri,18,21.51
2018-04-01,2018-06-01,2018-06-17,2018-06-18,5-977522639,doalan,Programmatic Direct (Deals),es,2018-06-15,FALSE,0.08,66.88,FALSE,EMAIL,EMAIL,Easy,2,HCL SAO MON,Monetization,66.96,2,66.96,0.00,63.31,0.00,18.96,0,,LATAM,kvennamaneni,saikarthik,2018-06-16 8:53:46,Sat,8,33.44
2018-04-01,2018-06-01,2018-06-10,2018-06-11,9-650022450,nchirokoff,Reporting,fr,2018-06-08,FALSE,64.97,1.98,FALSE,EMAIL,EMAIL,Easy,2,HCL DUB PLAT,Platforms,66.95,2,66.95,0.00,1.21,0.00,18.95,0,,DUBLIN,hmatos,hmatos,2018-06-08 19:27:14,Fri,19,0.99
2018-04-01,2018-06-01,2018-06-24,2018-06-27,2-012122592,crystalwang,Order & Line Item Delivery (Adserving),zh-Hans,2018-06-25,FALSE,48.96,17.93,FALSE,EMAIL,EMAIL,null,5,HCL CHN PLAT,Monetization,66.89,5,66.89,0.30,2.24,0.00,66.89,0,,CHINA,nkone,saikarthik,2018-06-25 13:46:04,Mon,13,3.59
2018-04-01,2018-05-01,2018-05-06,2018-05-10,4-937322259,riyazmohammed,Reporting,en,2018-05-06,TRUE,34.17,32.71,FALSE,EMAIL,EMAIL,Hard,2,HCL HYD PLAT,Platforms,66.88,6,95.16,0.88,4.11,0.00,94.29,1,,APAC,mrengarajan,vsunda,2018-05-07 11:37:37,Mon,11,5.45
2018-04-01,2018-04-01,2018-04-08,2018-04-09,1-134821906,pampara,Account Management,en,2018-04-06,FALSE,63.77,3.10,FALSE,EMAIL,EMAIL,Easy,2,HCL HYD PLAT,Monetization,66.87,2,66.87,0.07,2.67,0.00,18.87,0,,NA,pampara,vipinnair,2018-04-07 1:59:36,Sat,1,1.55
2018-04-01,2018-05-01,2018-05-27,2018-05-31,2-901122572,abellucci,Policy,it,2018-05-28,FALSE,48.11,18.74,FALSE,EMAIL,EMAIL,Easy,1,HCL DUB MON,Monetization,66.84,3,66.84,0.18,18.74,0.00,66.84,1,,DUBLIN,hmatos,hmatos,2018-05-28 21:14:09,Mon,21,6.25
2018-04-01,2018-04-01,2018-04-08,2018-04-08,9-471721666,akoushik,Policy,en,2018-04-06,FALSE,1.84,64.93,FALSE,EMAIL,EMAIL,Medium,5,HCL HYD MON,Monetization,66.77,3,66.77,0.15,3.60,0.00,23.88,0,,APAC,ldaram,larasur,2018-04-06 12:37:08,Fri,12,21.64
2018-04-01,2018-05-01,2018-05-06,2018-05-07,7-888022124,mpostel,Formats & Creative Trafficking,fr,2018-05-04,FALSE,0.88,65.87,FALSE,EMAIL,EMAIL,null,3,HCL DUB PLAT,Platforms,66.75,3,66.75,4.02,64.75,0.00,18.75,0,,DUBLIN,hmatos,hmatos,2018-05-04 22:19:15,Fri,22,21.96
2018-04-01,2018-06-01,2018-06-03,2018-06-04,8-937222275,pbuyankar,Programmatic Direct (Deals),en,2018-06-01,FALSE,62.64,4.09,FALSE,EMAIL,EMAIL,Easy,1,HCL HYD PLAT,Platforms,66.73,2,66.73,1.80,4.09,0.00,18.73,1,,EMEA,enagabushanam,sgangadhari,2018-06-01 22:28:50,Fri,22,2.05
2018-04-01,2018-05-01,2018-05-13,2018-05-13,8-720822085,karepe,Order & Line Item Setup,en,2018-05-11,FALSE,64.76,1.96,FALSE,EMAIL,CHAT,Easy,0,HCL HYD PLAT,Consult - Platforms,66.72,2,66.72,0.02,0.03,0.00,22.73,1,,APAC,susaurabh,vsunda,2018-05-11 13:45:56,Fri,13,0.98
